,Symbol
21215,0050.TW
20663,0051.TW
20840,0052.TW
20647,0053.TW
19422,0054.TW
21059,0055.TW
21157,0056.TW
21072,0057.TW
20933,0058.TW
21209,0059.TW
18729,0060.TW
20575,0061.TW
20597,006201.TWO
20610,006203.TW
20681,006204.TW
20670,006205.TW
20724,006206.TW
15875,006207.TW
21256,006208.TW
21132,00631L.TW
9574,00632R.TW
21018,00633L.TW
20978,00634R.TW
13880,00635U.TW
20905,00636.TW
20636,00637L.TW
20580,00638R.TW
20789,00639.TW
20937,00640L.TW
20864,00641R.TW
11125,00642U.TW
19330,00643.TW
20705,00645.TW
20529,00646.TW
12439,00647L.TW
20701,00648R.TW
15560,00649.TW
15371,00650L.TW
12982,00651R.TW
20773,00655L.TW
14111,00656R.TW
13605,0080.TW
15224,0081.TW
15328,008201.TW
18363,01001T.TW
21222,01002T.TW
17389,01003T.TW
20582,01004T.TW
14236,01007T.TW
18724,01008T.TW
14505,018B.BE
23951,01D2.BE
28232,01D4.BE
16122,01D5.BE
27609,01D6.BE
24902,01D9.BE
14455,01DS.BE
20316,01DT.BE
20813,025J.BE
21409,025K.BE
20846,025M.BE
21688,025N.BE
14052,02F4.BE
18718,02F4.MU
13641,02F6.BE
13963,02F8.BE
18426,02FB.BE
14023,03AE.BE
18337,03OK.BE
18604,03OL.BE
24371,03OQ.BE
17184,069500.KS
17260,069660.KS
20447,08PL.BE
17340,091160.KS
17362,091170.KS
17607,091180.KS
17597,091200.KS
17610,091210.KS
17311,091220.KS
17232,091230.KS
17660,097710.KS
17546,097720.KS
17339,097750.KS
17199,098560.KS
17404,099140.KS
12796,09SN.BE
23076,0BY2.BE
9040,0BY3.BE
12739,0BY5.BE
27961,0BY9.BE
26579,0BYI.MU
21238,0BYQ.MU
15160,0BYW.BE
24323,0DF3.BE
20351,0DFB.BE
9919,0DFC.BE
24326,0DFK.BE
9982,0DFL.BE
16592,0DFM.BE
24917,0DFN.BE
16664,0DFQ.BE
10018,0DFW.BE
21287,0DFZ.BE
27356,0I81.BE
16341,0I82.BE
21759,0I83.BE
15669,0I84.BE
8884,0I85.BE
18054,0I86.BE
14352,0I87.MU
21886,0I88.MU
20167,0R4A.BE
26678,0R4B.MU
16000,0R4C.MU
14548,0V1V.BE
30863,100051.BO
32258,100057.BO
43340,100060.BO
30603,100066.BO
34609,100263.BO
39804,100264.BO
41356,100298.BO
43055,100300.BO
28852,100366.BO
37121,1005064.MC
40415,10052326.SW
34051,100524.BO
31290,1006185.IR
39619,1006950.SW
38711,1006950.SW
36896,100783.BO
32032,100786.BO
31723,10079893.MC
24291,10084202.SW
31280,100844.BO
32941,100864.BO
17329,100910.KS
38121,100928.BO
39125,100928.BO
34394,100950.BO
41007,100954.BO
29760,100961.BO
39077,100999.BO
38072,100999.BO
8594,100EUA.MI
7954,100GBA.SW
17776,100UKD.SW
33060,101119.BO
32468,1011761.SW
32455,101199.BO
29039,101238.BO
16945,101280.KS
14406,10128065.IR
27338,10128074.IR
16320,10128171.IR
35221,101549.BO
37965,101585.BO
38970,101585.BO
30398,101626.BO
42957,10167961.SW
40034,101729.BO
36486,101738.BO
37577,101816.BO
37284,101818.BO
28789,101839.BO
30568,101861.BO
36730,101867.BO
27330,10191349.SW
14428,10191675.SW
26714,10192176.SW
40784,101995.BO
27400,10200506.SW
14424,10200620.SW
14690,10200633.SW
42422,102008.BO
8217,10204758.SW
29897,102054.BO
17535,102110.KS
37071,10211297.SW
38956,102118.BO
37953,102118.BO
36866,102170.BO
34874,10217334.SW
42871,10217349.SW
23552,10218467.SW
36403,102194.BO
32469,102261.BO
29505,102397.BO
40670,102451.BO
11358,10253078.SW
37980,10261626.BE
38985,10261626.BE
36377,10271826.IR
42414,102766.BO
17316,102780.KS
17630,102960.KS
17491,102970.KS
36503,10314228.SW
28300,103183.BO
31694,103186.BO
22916,10332676.SW
29482,10338504.IR
13882,103541.L
38110,103735.BO
39114,103735.BO
29278,10376328.IR
33458,10377662.SW
41827,10383868.IR
37399,10384799.IR
32970,10384979.IR
30045,10394843.SW
8514,10413628.SW
14718,10413631.SW
14611,10449329.SW
22913,10449330.SW
44270,104514.BO
17299,104520.KS
17225,104530.KS
9850,104580.KS
23247,10461006.SW
23288,10461013.SW
43720,104722.BO
35532,10479066.SW
35420,1048619.IR
25444,1048P.LS
37607,1049968.SW
17212,105010.KS
17569,105020.KS
17694,105190.KS
29837,105227.BO
17704,105270.KS
42293,10531990.SW
32418,10532160.SW
31995,1053434.IR
29748,10542879.SW
38914,105565.BO
37914,105565.BO
43458,105639.BO
10398,105692.L
20413,105693.L
18690,105694.L
20406,105695.L
20048,105696.L
8234,105697.L
17626,105780.KS
28556,105877.BO
23272,10599440.SW
9031,10602712.SW
23269,10602714.SW
30875,106035.BO
31028,106099.BO
30981,106103.BO
33313,106179.BO
29782,106214.BO
43665,106228.BO
30148,10634684.SW
36630,1063698.MC
41247,10639030.IR
8966,10640589.SW
16949,10640628.SW
16892,10640723.SW
33338,106528.BO
34781,10660277.SW
40320,106667.BO
29416,10674747.SW
31446,106795.BO
37183,10679694.IR
40847,106839.BO
10670,10689810.SW
40068,10692537.SW
29941,10692608.SW
32765,10692616.SW
39597,10699645.MX
38689,10699645.MX
13644,10711757.SW
30800,1072520.SW
35881,107332.BO
27335,10737489.SW
14600,10737561.SW
25344,10737573.SW
16294,10737587.SW
27271,10737596.SW
32573,10753602.IR
17619,107560.KS
41215,1076674.IR
27216,10771225.SW
8979,10771517.SW
28124,10808304.IR
36129,10818908.IR
41873,108249.BO
41020,108258.BO
17332,108440.KS
17255,108450.KS
28218,10846372.SW
17627,108480.KS
33790,1085303.SW
35430,108544.BO
35612,108547.BO
16091,10854734.IR
27635,10854741.IR
25087,10854855.IR
20573,10854862.IR
11757,10854870.IR
20541,10854875.IR
27515,10854885.IR
27069,10854889.IR
15391,10854910.IR
43461,108561.BO
17452,108590.KS
17390,108630.KS
44174,108634.BO
40173,108643.BO
29465,108646.BO
29594,108662.BO
32034,10870502.SW
37465,108733.BO
33240,108737.BO
41475,10913002.IR
41556,10913641.IR
30051,109182.BO
34489,1092928.SW
38593,1093265.SW
39696,1093265.SW
37145,109350.BO
31528,10962780.SW
29733,109716.BO
28927,1097283.MC
20416,10975851.IR
31886,10989239.IR
34432,10991293.IR
38036,1099333.SW
39039,1099333.SW
